Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,nonsignificant
ZSCAN23,9.154365858444987,1.8235348613724516,0.4925645303865401,3.7021237804951816,0.00021380225867003266,0.008752990745034354,True,False
NCR3LG1,27.76102589552902,-1.063125051469328,0.21476451848015338,-4.950189440010187,7.414127815308245e-07,0.0001446973684721871,True,False
H3-5,4.034854260608573,1.1525329172862375,0.383147205743283,3.0080681785226426,0.0026291414762584764,0.046705134195622,True,False
SNTN,1.8677610356569923,3.2322780054420965,0.9810818392338375,3.294605889317348,0.0009855980322465568,0.024765106111846024,True,False
CALHM6,3.1278696777534902,-1.237204341253215,0.36881036581426424,-3.354581258912556,0.0007948520430136396,0.021570013441552998,True,False
ZNF836,64.9477263400427,-4.391820828283765,0.4522275839003848,-9.711527966527536,2.6926983800000166e-22,1.9181436909930117e-18,True,False
CHRNG,7.54267732242143,-2.0969819778080194,0.4792060815380541,-4.375950261477424,1.2090458418843917e-05,0.0011248123983913232,True,False
MMP17,1.7242664381260082,-1.4090605093927842,0.4602996237076112,-3.0611811020897974,0.002204657010958424,0.04115365787787079,True,False
STKLD1,8.291566994691372,-4.8387402878260835,1.1732337267330732,-4.124276499704618,3.7190191838330426e-05,0.0024759283323396897,True,False
IGFL2,2.852211654377156,3.6385052546845316,0.8705010841198157,4.179782565536389,2.917879533378739e-05,0.0020785514856023445,True,False
CRLF2,15.02661800951934,1.3395646603908378,0.41633881767533953,3.2174868244820463,0.0012931896640072172,0.028923191747426726,True,False
GAGE1,4.098675698118381,-4.521348312620708,1.1987960992548123,-3.771574094569742,0.00016222097237963295,0.0072446764418661975,True,False
HLA-A,3338.803747519134,1.1510545159015027,0.3116421926326475,3.6935130836353856,0.00022117712481860809,0.008977714393810069,True,False
KRTAP16-1,8.923714699309459,1.1498502848876,0.36090174125520874,3.186048038694534,0.0014423064623283227,0.030900060404197915,True,False
CFAP45,18.262407077799804,-1.0053642239243046,0.14861208978739987,-6.765023124044278,1.3328790899362186e-11,1.4607329534093313e-08,True,False
OR2A25,8.330988260061643,-5.236100145501854,0.9841245159114697,-5.320566717771804,1.0344450350393016e-07,3.073909180509125e-05,True,False
LINC02476,6.579254632251933,-4.4116151118078815,1.080784334800983,-4.081864410646035,4.467585964434745e-05,0.002816358284747868,True,False
LINC01709,53.24787510341176,-1.5807557059166355,0.3620128354776833,-4.3665736432543785,1.2621074728610154e-05,0.0011450341061426121,True,False
LINC02976,2.464280776690828,1.6894760921449397,0.5327696850599258,3.1711190398434694,0.0015185290128301103,0.0319092667342044,True,False
OR52I1,9.042325217657345,-5.786307257021098,1.4653682285951053,-3.9487052770132824,7.857501956091487e-05,0.004322748281991231,True,False
DLG5-AS1,2.9683442798312534,-2.209871397983025,0.7361192839127458,-3.002056115466426,0.0026816273849106947,0.04728359573369142,True,False
ZNF736,192.05670037640562,-1.2439621993982894,0.279851148842155,-4.445085198131254,8.785704265677624e-06,0.0008732477478890154,True,False
KDM5C-IT1,4.140739469809584,-3.358979677106391,0.8560087375603237,-3.9240016248895833,8.709014724259929e-05,0.004670305000406498,True,False
PRPF31-AS1,3.9058583663463673,-1.1017126804723694,0.3628395115596939,-3.0363635860289073,0.0023945043134465686,0.04356896928949331,True,False
NME1,8.014627540600586,1.0108000178029128,0.31718212266881807,3.1868127033701947,0.0014384989462792425,0.030864901336807787,True,False
CSTF3-DT,6.735063544335517,1.7073266138550665,0.5002246559707336,3.413119672283719,0.0006422373299444433,0.018673378040241804,True,False
